"seller_id","months_with_sales","avg_monthly_sales","sales_stddev","d_rank"
"a0a14e50070f3225b3eabba5b85da517","2","124.32","0.00","1"
"1d0646a72178a6fb37ee8082140e06ec","2","48.81","0.00","1"
"51209b446b2073894bdc0face6c73ffc","2","219.44","0.00","1"
"8060d731897e33b5c5ae575ce1e209e1","2","116.41","0.21","2"
"c398bc00a606d33758afd91f4e64fd15","2","82.75","0.28","3"
"9cf787a239c1aa29dbd76f153dc13f9a","2","184.20","0.31","4"
"d58d521f3789def2e7a22715e0badd93","2","42.10","0.33","5"
"458d868c9642f55f18f04e951a3fdde6","2","1411.38","0.35","6"
"98e164d549402270247f3c96a1a158ef","2","93.71","0.42","7"
"2c54051840f19eca309a5423cf22df36","2","26.14","0.45","8"
"b3e2faf2c1004d674f16a3aa3197f0e1","2","35.90","0.63","9"
"aa17b35ce4de7b565be3249ba838944f","2","57.00","0.71","10"
"6902157ee16728322d61a1321fa79e58","2","95.72","0.71","11"
"a20d8058c866dbaeca014d2cd20ac62e","2","619.45","0.99","12"
"217f005bb37ff3aeef5b2ae1788e75ba","2","40.07","1.38","13"
"6f835fd4be26989b1b064399da346143","2","114.63","1.52","14"
"85e7c62c1d6ea078c3897424f867a7c8","2","43.85","1.77","15"
"7d948535954aaf8c5d39db007f74372e","4","59.45","1.84","16"
"fd312b6bf05efac6c3772d5b52205d8a","2","82.16","1.90","17"
"e3e290b38963293022cdcd6db8328103","2","70.38","2.04","18"
