"customer_unique_id","total_orders","rank"
"8d50f5eadf50201ccdcedfb9e2ac8455","17","1"
"3e43e6105506432c953e165fb2acf44c","9","2"
"6469f99c1f9dfae7733b25662e7f1782","7","3"
"1b6c7548a2a1f9037c1fd3ddfed95f33","7","3"
"ca77025e7201e3b30c44b472ff346268","7","3"
"dc813062e0fc23409cd255f7f53c7074","6","6"
"f0e310a6839dce9de1638e0fe5ab282a","6","6"
"de34b16117594161a6a89c50b289d35a","6","6"
"63cfc61cee11cbe306bff5857d00bfe4","6","6"
"47c1a3033b8b77b3ab6e109eb4d5fdf3","6","6"
"12f5d6e1cbf93dafd9dcc19095df0b3d","6","6"
